user,userId,userUrl,publicId,submissionUrl,deleted
"bdresser","1016190","https://github.com/bdresser","0x022e5250bdd9fa19f7b03d1a5670e6505884e40e867f56cd58c755b185ea8fc3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1092410021","true"
"czepluch","1026799","https://github.com/czepluch","0x2070b5575536ca399cd6616710511708564008e8a5ebd6d06b46bdc579a62373","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088524395","undefined"
"hsanjuan","1027022","https://github.com/hsanjuan","0x2b06dcd5da2df4df62441e5fa094673c9a8f9c3052256e5b7cfaf61a466b12e7","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087323524","undefined"
"expede","1052016","https://github.com/expede","0x2d3372228544079862a46b3a0ecad785bb5e54df69aae7894cc3a6d404488796","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086736028","undefined"
"rfikki","1055929","https://github.com/rfikki","0x16b2531a2a482fb7ab12540a9352e198aedc657dd8e96fece714e73b0ac73e1d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1089041968","undefined"
"khoacoi","1075519","https://github.com/khoacoi","0x2a5f55fdae72cc6cc6e6760de1c026a8046ccd3b1904935dc30915741bfc2758","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094192553","true"
"raulk","1101242","https://github.com/raulk","0x227fbd0294619ecf8c5dac378d2e91ee93f503c72ffbffd739251ccfa87cc090","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086154728","undefined"
"pkattera","1121139","https://github.com/pkattera","0x1aaedf631b3acd01bb1d428c1b00d8eb7a6befc4533f10372252a8d91ab19b80","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087962504","undefined"
"ecmendenhall","1131633","https://github.com/ecmendenhall","0x06ddd022e1c98d103b7e9a4e848e3e861649931c50140802976d2ca4015f8dcd","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085419045","undefined"
"tzdybal","1138893","https://github.com/tzdybal","0x1ecdd1d075111733674c5e94f62e9e3c3afe7eda6e6dcedd3769d75dc16bfbfe","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086385747","undefined"
"mariano-aguero","1144028","https://github.com/mariano-aguero","0x2bfa3a690b88f51c03ddf63e16d9ce55818ca417e6f52adb4b0ab326572bb9e3","https://gist.github.com/d6ae69f8bf136e47de8ca219136ebec2","undefined"
"rafinskipg","1152768","https://github.com/rafinskipg","0x1709b2ce35876503e5af34cbfc2716d4fad2cb900d684bb14f1f84f3eeafb6fb","https://gist.github.com/0092eeb70915cbfe4ef5a0523695524a","undefined"
"cskiraly","1183261","https://github.com/cskiraly","0x1db93e13cdc67a67dc7bc2598b85ef151d762ef45bab4710f02af8b11bacd35e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087200746","true"
"adrianleb","1190887","https://github.com/adrianleb","0x1f67b6319c88ff0d6a1ec435e34a94063c79cca3eea37f286300bfabf16b166e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085205381","undefined"
"xdrdak","1198051","https://github.com/xdrdak","0x1d214f86d545cbcfef87e3ddea8f382d886a01cbcb6e46cfd0e3d5d1b8527138","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086221014","true"
"fleupold","1200333","https://github.com/fleupold","0x0b20647ec5372245c9880d960bcbd59ea1bcb06fef90165e74a0fc40f17c1129","https://gist.github.com/7ebb330657a18927fe1d112e76d917d3","undefined"
"marscolonel","1214716","https://github.com/marscolonel","0x03e8aca9595d6ec33180cc1c3765865bbeff95ead41cf000871abaadeb8a5d1d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086563337","true"
"jefflau","1221141","https://github.com/jefflau","0x079533d29475b7006cbf26e22912e73a2bda675df30afcabe64c599d400d2f5c","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088721889","undefined"
"LeonmanRolls","1221151","https://github.com/LeonmanRolls","0x2a910a0d547fe44cee4e9c947f6100127f344095c09dc2d32421c40e1b5c4272","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086631106","undefined"
